## utf-8


分类          | 模块         | 子模块/子程序       | 文件类型   | 功能说明                                                                                        | 程序位置                            | 是否修改                   | 是否基于开源 | 备注   | 开发编译环境 | 负责人 | 备注
界面绘图      | 界面绘图包   | sdnrule.dll         | 动态库     | 绘图用规则解释模块                                                                              | smmi\graph\sdnrule                  |                            |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | uigraphif.dll       | 动态库     | 图形菜单类，设备参数、点参数菜单添加模块                                                        | smmi\graph\uigraphif                | 修改                       |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | xpaintoper.dll      | 动态库     | 调度员绘图区类模块（鼠标、键盘消息响应，图元提示信息类）                                        | smmi\graph\xpaintoper               | 修改                       |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | basquery.dll        | 动态库     | 环控查询模块                                                                                    | smmi\ide\basquery                   | 修改                       |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | initmmi.dll         | 动态库     | 调度员界面环境初始化动态加载模块                                                                | smmi\ide\initmmi                    |                            |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | smmi                | 可执行程序 | 调度员界面应用程序                                                                              | smmi\ide\qtmmi                      | 修改                       |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | uienvinit.dll       | 动态库     | 界面环境初始化模块（数据库接口封装、流参数收集、登录等）                                        | smmi\ide\uienvinit                  | 修改                       |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | aormgr              | 可执行程序 | 权限管理界面。                                                                                  | smmi\tools\aormgr                   |                            |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | uidutyareadll.dll   | 动态库     | 权限编辑动态库                                                                                  | smmi\tools\aormgr\lib               | 修改                       |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | dataview            | 可执行程序 | "历史数据查看、修改，实时数据查看，自定义表格显示历史数据"                                      | smmi\tools\dataview                 |                            |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | vcheck.dll          | 动态库     | "数据库参数检查模块（实时库检查、RTU参数检查、遥控号检查、遥信号检查、遥测号检查、设备ID检查）" | smmi\tools\dbui\vcheck              |                            |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | funcpanel.dll       | 动态库     | 界面编辑用动态库                                                                                | smmi\tools\funceditor               | 修改                       |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | funceditor          | 可执行程序 | 框架界面定制工具。                                                                              | smmi\tools\funceditor               |                            |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | ldeditdll.dll       | 动态库     | 联动编辑主框架动态库                                                                            | smmi\tools\ldedit\ldeditdll         | 修改                       |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | trendgroupdll.dll   | 动态库     | 趋势动态库                                                                                      | smmi\tools\trendgroup\trendgroupdll | 修改                       |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | cdadbf.dll          | 动态库     | 关系库、实时库操作接口中间件                                                                    | smmi\uiplat\cdadbf                  |                            |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | commfunc.dll        | 动态库     | "通用函数、类接口（如：时间、字符串操作函数，链表类，提示窗口）"                                | smmi\uiplat\commfunc                |                            |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | dbcomm.dll          | 动态库     | 数据库dbdata接口封装，界面用                                                                    | smmi\uiplat\dbcomm                  |                            |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | plat.dll            | 动态库     | 界面平台库                                                                                      | smmi\uiplat\plat                    |                            |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | rightManage.dll     | 动态库     | 权限管理动态库                                                                                  | smmi\uiplat\rightManage             | 修改，国密                 |              |        | C++          | 张德志 |
报警事件      | SCADA        | SCADA_Server        | 可执行程序 | 处理遥测遥信等数据、控制操作和生成事项的服务器程序。                                            | scada                               | 少量修改                   |              |        | C++          | 孙宝喜 |
报警事件      | SCADA        | SCADA_Save          | 可执行程序 | 处理历史数据定时保存的服务器程序。                                                              | scada                               | 少量修改，事项             |              |        | C++          | 孙宝喜 |
报警事件      | SCADA        | scd_ld.dll          | 动态库     | 联动类库。                                                                                      | scada                               | 修改                       |              |        | C++          | 孙宝喜 |
报警事件      | SCADA        | scd_dll.dll         | 动态库     | SCADA类库。                                                                                     | scada                               | 修改，联动，事项，控制等   |              |        | C++          | 孙宝喜 |
报警事件      | SCADA        | testent             | 可执行程序 | 遥信遥测仿真程序。                                                                              | scada                               | 修改，增加功能和说明       |              |        | C++          | 孙宝喜 |
报警事件      | SCADA        | CMDL_Server         | 可执行程序 | 处理用户语言计算过程的服务器程序。                                                              | scada                               |                            |              |        | C++          | 孙宝喜 |
报警事件      | SCADA        | PDR_Server          | 可执行程序 | 处理事故追忆的服务器程序。                                                                      | scada                               |                            |              |        | C++          | 孙宝喜 |
报警事件      | SCADA        | loopproc            | 可执行程序 | 循环调用一个用户过程的程序。                                                                    | scada                               |                            |              |        | C++          | 孙宝喜 |
报警事件      | SCADA        | onceproc            | 可执行程序 | 调用一个用户过程的程序。                                                                        | scada                               |                            |              |        | C++          | 孙宝喜 |
报警事件      | SCADA        | scadamap            | 可执行程序 | 处理SCADA数据映射的程序。                                                                       | scada                               |                            |              |        | C++          | 孙宝喜 |
报警事件      | SCADA        | compcc              | 可执行程序 | 编译用户过程的程序。                                                                            | scada                               |                            |              |        | C++          | 孙宝喜 |
报警事件      | SCADA        | dispdata            | 可执行程序 | scada 操作信息等调试工具。                                                                      | scada                               |                            |              |        | C++          | 孙宝喜 |
报警事件      | SCADA        | SCADA_Log           | 可执行程序 | 处理SCADA调试信息存盘的服务器程序。                                                             | scada                               |                            |              |        | C++          | 孙宝喜 |
报警事件      | SCADA        | scd_cli.dll         | 动态库     | SCADA客户端接口库。                                                                             | scada                               |                            |              |        | C++          | 孙宝喜 |
报警事件      | 事项         | eventviewui.dll     | 动态库     | 事项推图模块                                                                                    | smmi\app\eventviewui                | 修改，推图等               |              |        | C++          | 孙宝喜 |
报警事件      | 事项IDSRV    | reportqt            | 可执行程序 | Qt报表程序                                                                                      | reportqt                            | 新增(完善中)               |              |        | C++          | 孙宝喜 |
报警事件      | 事项存盘     | evtsave             | 可执行程序 | 历史事项存盘进程                                                                                | network                             |                            |              |        | C++          | 孙宝喜 |
报警事件      | 事项工具     | tevent              | 可执行程序 | 事项调试程序                                                                                    | network                             |                            |              |        | C++          | 孙宝喜 |
报警事件      | 事项工具     | sevent              | 可执行程序 | 事项查看器                                                                                      | smmi\tools\ievent                   |                            |              |        | C++          | 孙宝喜 |
报警事件      | 报警         | alarmbar.dll        | 动态库     | 报警条模块                                                                                      | smmi\component\ialarm\alarmbar      |                            |              |        | C++          | 孙宝喜 |
报警事件      | 报警         | alarmwindow.dll     | 动态库     | 报警窗口模块                                                                                    | smmi\component\ialarm\alarmwindow   | 大量修改                   |              |        | C++          | 孙宝喜 |
报警事件      | 报警         | almcore.dll         | 动态库     | 报警核心处理模块                                                                                | smmi\component\ialarm\almcore       | 大量修改                   |              |        | C++          | 孙宝喜 |
报警事件      | 报警         | soundplay.dll       | 动态库     | 报警用声音播放处理模块                                                                          | smmi\component\ialarm\soundplay     | 修改                       |              |        | C++          | 孙宝喜 |
报警事件      | 报警         | alarmview           | 可执行程序 | 报警                                                                                            | smmi\component\ialarm\alarmview     |                            |              |        | C++          | 孙宝喜 |
报警事件      | 报警         | alarmexsrv          | 可执行程序 | 报警                                                                                            | extensions\alarmexsrv               |                            |              |        | C++          | 孙宝喜 |
报警事件      | 报警         | alarmstat           | 可执行程序 | 报警                                                                                            | extensions\alarmstat                |                            |              |        | C++          | 孙宝喜 |
报警事件      | 登陆认证     | safeSrv             | 可执行程序 | 权限、登录管理服务器程序                                                                        | smmi\tools\safeSrv                  | 修改                       |              |        | C++          | 孙宝喜 |
报警事件      | IDSRV        | reportqt            | 可执行程序 | Qt报表程序                                                                                      | reportqt                            | 新增(完善中)               |              |        | C++          | 孙宝喜 |
插件          | BAS          | acsdata.dll         | 动态库     | 门禁历史记录读取                                                                                | sup\acsdata                         | 新增                       |              |        | C++          | 侯得果 |
插件          | BAS          | asset.dll           | 动态库     | 资产管理                                                                                        | sup\Asset                           | 移动位置                   |              |        | C++          | 侯得果 |
插件          | BAS          | loadtime            | 可执行程序 | 排定时间表自动下载程序                                                                          | sup\bas\loadtime                    | 跟随bas修改                |              |        | C++          | 侯得果 |
插件          | BAS          | modeexec.dll        | 动态库     | 模式执行动态库                                                                                  | sup\bas\modeexec                    | 修改                       |              |        | C++          | 侯得果 |
插件          | BAS          | modegroup.dll       | 动态库     | 模式成组管理                                                                                    | sup\bas\modegroup                   | 新增                       |              |        | C++          | 侯得果 |
插件          | BAS          | modeswitch.dll      | 动态库     | 模式切换                                                                                        | sup\bas\modeswitch                  | 新增                       |              |        | C++          | 侯得果 |
插件          | CCTV         | CCTV.dll            | 动态库     | cctv动态库                                                                                      | sup\CCTV                            | 废弃，新开发               |              |        | C++          | 侯得果 |
插件          | 联动编辑插件 | ld_cctv_edit.dll    | 动态库     | 联动CCTV编辑动态库                                                                              | sup\ld_edit\ld_cctv_edit            | 新开发                     |              |        | C++          | 侯得果 |
插件          | 联动编辑插件 | ld_pa_edit.dll      | 动态库     | 联动广播编辑动态库                                                                              | sup\ld_edit\ld_pa_edit              | 新开发                     |              |        | C++          | 侯得果 |
插件          | 联动编辑插件 | ld_pis_edit.dll     | 动态库     | 联动乘客信息编辑动态库                                                                          | sup\ld_edit\ld_pa_edit              | 新增                       |              |        | C++          | 侯得果 |
